防具属性,变身古代勇者模样,耐寒防护,游泳速度提升,火焰防护,电麻防护,鬼神套装,鬼神帽子、鬼神服、鬼神靴,黄昏之勇者套装,黄昏之勇者帽子、黄昏之勇者服、黄昏之勇者裤子,风之勇者套装,风之勇者帽子、风之勇者服、风之勇者裤子,时光之勇者套装,时之勇者帽子、时之勇者服、时之勇者裤子,初始之勇者套装,初始之勇者帽子、初始之勇者服、初始之勇者裤子,天空之勇者套装,天空之勇者帽子、天空之勇者服、天空之勇者裤子,织梦之勇者套装,织梦之勇者面具、织梦之勇者服、织梦之勇者裤子,旷野之勇者套装,旷野之勇者帽子、旷野之勇者服、旷野之勇者裤子,潜行套装,依盖队面罩、依盖队紧身裤、依盖队紧身服,近卫兵套装,近卫兵的帽子、近卫兵的衣服、近卫兵的靴子,蛮族套装,蛮族头盔、蛮族服、蛮族短裤,卓拉套装 / 游泳套装,卓拉头盔、卓拉铠甲、卓拉护胫,耐火套装,耐火石盔、耐火石铠、耐火石鞋,羽绒套装 ,防雪羽饰、利特的羽绒服、利特的羽绒裤子,橡胶套装 / 防雷套装,橡胶头盔、橡胶紧身服、橡胶紧身裤
,,,,,,,,,,,,二星,琥珀×20、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,三星,琥珀×30、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,四星,琥珀×40、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,防具属性,无,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,套装奖励,攻击力提升,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,一星,红宝石×1、星星碎片×1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,二星,红宝石×4、星星碎片×1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,三星,红宝石×6、星星碎片×1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,四星,红宝石×10、星星碎片×1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,防具属性,无,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,套装奖励,攻击力提升,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,一星,蓝宝石×1、星星碎片×1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,二星,蓝宝石×4、星星碎片×1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,三星,蓝宝石×6、星星碎片×1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,四星,蓝宝石×10、星星碎片×1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,防具属性,无,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,套装奖励,攻击力提升,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,一星,夜光石x10、星星碎片x1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,二星,夜光石x15、星星碎片×1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,三星,夜光石x20、星星碎片×1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,四星,夜光石x30、星星碎片×1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,防具属性,无,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,套装奖励,大师之剑剑气强化,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,防 御 力,4（初始）→7（一星）→ 12（二星）→18（三星）→ 28（四星）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,一星,橡子×10、费罗龙的鳞片×2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,二星,精力蜂的蜂蜜×5、费罗龙的爪子×2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,三星,精力独角仙×3、费罗龙的牙齿碎片×2 费罗龙的龙岩石x5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,四星,星星碎片×3、费罗龙的犄角碎片×2 费罗龙的龙岩石x10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,一星,橡子×10、聂尔龙的鳞片×2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,二星,精力蜂的蜂蜜×5、聂尔龙的爪子×2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,三星,精力独角仙×3、聂尔龙的牙齿碎片×2 聂尔龙的龙岩石x5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,四星,星星碎片×3、聂尔龙的犄角碎片×2 聂尔龙的龙岩石x10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,一星,橡子×10、奥尔龙的鳞片×2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,二星,精力蜂的蜂蜜×5、奥尔龙的爪子×2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,三星,精力独角仙×3、奥尔龙的牙齿碎片×2 奥尔龙的龙岩石x5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,四星,星星碎片×3、奥尔龙的犄角碎片×2 奥尔龙的龙岩石x10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,防具属性,安静性提升,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,套装奖励,夜间移动速度提升,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,防 御 力,1（初始）→3（一星）→ 5（二星）→7（三星）→ 12（四星）,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,一星,八爪怪的眼球×2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,二星,喷火蜥蜴战士的尾巴×3、烟雾蘑菇×3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,三星,吐雹蜥蜴战士的尾巴×5、蝙蝠的眼珠×5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,四星,电麻蜥蜴战士的尾巴×5、黑色西诺克斯的犄角x3、大剑香蕉x10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,防具属性,无,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,套装奖励,蓄力攻击精力持久,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,防 御 力,4（初始）→6（一星）→ 10（二星）→15（三星）→ 24（四星）,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一星,首领波克布林的犄角x3、波克布林的肝脏x3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,二星,蓝色首领波克布林的犄角x3、首领波克布林的肝脏x3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,三星,黑色首领波克布林的犄角x3、西诺克斯的肝脏x3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,四星,白银首领波克布林的犄角x3、莫尔德拉吉克的肝脏x3、古栗欧克的肝脏x3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,防具属性,攻击提升,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,套装奖励,蓄力攻击精力持久,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,一星,大剑草×3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,二星,莱尼尔的刃角×2、莱尼尔的碎角×2、大剑蘑菇x5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,三星,蓝鬃莱尼尔的刃角×3、蓝鬃莱尼尔的碎角×3、大剑螃蟹x3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,四星,白鬃莱尼尔的刃角×3、白鬃莱尼尔的碎角×3、大剑独角仙x3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,防具属性,游泳速度提升,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,套装奖励,加速游泳精力持久,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,卓拉头盔，附加技能,旋转攻击,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,卓拉铠甲，附加技能,攀瀑,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一星,蜥蜴战士的犄角×3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,二星,蜥蜴战士的爪子×5、海拉鲁鲈鱼×5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,三星,蓝色蜥蜴战士的犄角×5、蜥蜴战士的尾巴×3、生命鲈鱼x3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四星,黑色蜥蜴战士的犄角×5、蓝色蜥蜴战士的尾巴×5、蛋白石x20,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,防具属性,火焰防护,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,套装奖励,火焰无效,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一星,莫力布林的犄角×3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二星,耐火蜥×5、莫力布林的牙齿×5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三星,耐火凤蝶×3、蓝色莫力布林的犄角×5、打火石x15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四星,耐火凤蝶×5、黑色莫力布林的犄角×5、打火石x30,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,防具属性,耐寒防护,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,套装奖励,冻结无效,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一星,红色丘丘胶×3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二星,红色丘丘胶×5、暖暖香草×3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三星,火蝙蝠的翅膀×5、喷火蜥蜴战士的尾巴x3、暖暖蘑菇×5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四星,喷火蜥蜴战士的犄角x5、喷火蜥蜴战士的尾巴x10、红宝石×5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,防具属性,电麻防护
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,套装奖励,雷无效
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一星,电麻蜥蜴战士的犄角x1、黄色丘丘胶x3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二星,黄色丘丘胶×8、酥麻水果×5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三星,酥麻蘑菇×5、电麻蜥蜴战士的尾巴x5、酥麻香草x8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四星,电麻蜥蜴战士的犄角x5、黄玉×5、电麻蜥蜴战士的尾巴x8
