,名称,套装效果,升级等级,材料名称,需要的数量
0,时之勇者帽子,攻击力提升,二星,星星碎片,1
0,时之勇者帽子,攻击力提升,三星,琥珀,30
0,时之勇者帽子,攻击力提升,三星,星星碎片,1
0,时之勇者帽子,攻击力提升,四星,琥珀,40
0,时之勇者帽子,攻击力提升,四星,星星碎片,1
0,时之勇者服,攻击力提升,一星,琥珀,10
0,时之勇者服,攻击力提升,一星,星星碎片,1
0,时之勇者服,攻击力提升,二星,琥珀,20
0,时之勇者服,攻击力提升,二星,星星碎片,1
0,时之勇者服,攻击力提升,三星,琥珀,30
0,时之勇者服,攻击力提升,三星,星星碎片,1
0,时之勇者服,攻击力提升,四星,琥珀,40
0,时之勇者服,攻击力提升,四星,星星碎片,1
0,时之勇者裤子,攻击力提升,一星,琥珀,10
0,时之勇者裤子,攻击力提升,一星,星星碎片,1
0,时之勇者裤子,攻击力提升,二星,琥珀,20
0,时之勇者裤子,攻击力提升,二星,星星碎片,1
0,时之勇者裤子,攻击力提升,三星,琥珀,30
0,时之勇者裤子,攻击力提升,三星,星星碎片,1
0,时之勇者裤子,攻击力提升,四星,琥珀,40
0,时之勇者裤子,攻击力提升,四星,星星碎片,1
0,初始之勇者帽子,攻击力提升,一星,红宝石,1
0,初始之勇者帽子,攻击力提升,一星,星星碎片,1
0,初始之勇者帽子,攻击力提升,二星,红宝石,4
0,初始之勇者帽子,攻击力提升,二星,星星碎片,1
0,初始之勇者帽子,攻击力提升,三星,红宝石,6
0,初始之勇者帽子,攻击力提升,三星,星星碎片,1
0,初始之勇者帽子,攻击力提升,四星,红宝石,10
0,初始之勇者帽子,攻击力提升,四星,星星碎片,1
0,初始之勇者服,攻击力提升,一星,红宝石,1
0,初始之勇者服,攻击力提升,一星,星星碎片,1
0,初始之勇者服,攻击力提升,二星,红宝石,4
0,初始之勇者服,攻击力提升,二星,星星碎片,1
0,初始之勇者服,攻击力提升,三星,红宝石,6
0,初始之勇者服,攻击力提升,三星,星星碎片,1
0,初始之勇者服,攻击力提升,四星,红宝石,10
0,初始之勇者服,攻击力提升,四星,星星碎片,1
0,初始之勇者裤子,攻击力提升,一星,红宝石,1
0,初始之勇者裤子,攻击力提升,一星,星星碎片,1
0,初始之勇者裤子,攻击力提升,二星,红宝石,4
0,初始之勇者裤子,攻击力提升,二星,星星碎片,1
0,初始之勇者裤子,攻击力提升,三星,红宝石,6
0,初始之勇者裤子,攻击力提升,三星,星星碎片,1
0,初始之勇者裤子,攻击力提升,四星,红宝石,10
0,初始之勇者裤子,攻击力提升,四星,星星碎片,1
0,天空之勇者帽子,攻击力提升,一星,蓝宝石,1
0,天空之勇者帽子,攻击力提升,一星,星星碎片,1
0,天空之勇者帽子,攻击力提升,二星,蓝宝石,4
0,天空之勇者帽子,攻击力提升,二星,星星碎片,1
0,天空之勇者帽子,攻击力提升,三星,蓝宝石,6
0,天空之勇者帽子,攻击力提升,三星,星星碎片,1
0,天空之勇者帽子,攻击力提升,四星,蓝宝石,10
0,天空之勇者帽子,攻击力提升,四星,星星碎片,1
0,天空之勇者服,攻击力提升,一星,蓝宝石,1
0,天空之勇者服,攻击力提升,一星,星星碎片,1
0,天空之勇者服,攻击力提升,二星,蓝宝石,4
0,天空之勇者服,攻击力提升,二星,星星碎片,1
0,天空之勇者服,攻击力提升,三星,蓝宝石,6
0,天空之勇者服,攻击力提升,三星,星星碎片,1
0,天空之勇者服,攻击力提升,四星,蓝宝石,10
0,天空之勇者服,攻击力提升,四星,星星碎片,1
0,天空之勇者裤子,攻击力提升,一星,蓝宝石,1
0,天空之勇者裤子,攻击力提升,一星,星星碎片,1
0,天空之勇者裤子,攻击力提升,二星,蓝宝石,4
0,天空之勇者裤子,攻击力提升,二星,星星碎片,1
0,天空之勇者裤子,攻击力提升,三星,蓝宝石,6
0,天空之勇者裤子,攻击力提升,三星,星星碎片,1
0,天空之勇者裤子,攻击力提升,四星,蓝宝石,10
0,天空之勇者裤子,攻击力提升,四星,星星碎片,1
0,织梦之勇者面具,攻击力提升,一星,夜光石,10
0,织梦之勇者面具,攻击力提升,一星,星星碎片,1
0,织梦之勇者面具,攻击力提升,二星,夜光石,15
0,织梦之勇者面具,攻击力提升,二星,星星碎片,1
0,织梦之勇者面具,攻击力提升,三星,夜光石,20
0,织梦之勇者面具,攻击力提升,三星,星星碎片,1
0,织梦之勇者面具,攻击力提升,四星,夜光石,30
0,织梦之勇者面具,攻击力提升,四星,星星碎片,1
0,织梦之勇者服,攻击力提升,一星,夜光石,10
0,织梦之勇者服,攻击力提升,一星,星星碎片,1
0,织梦之勇者服,攻击力提升,二星,夜光石,15
0,织梦之勇者服,攻击力提升,二星,星星碎片,1
0,织梦之勇者服,攻击力提升,三星,夜光石,20
0,织梦之勇者服,攻击力提升,三星,星星碎片,1
0,织梦之勇者服,攻击力提升,四星,夜光石,30
0,织梦之勇者服,攻击力提升,四星,星星碎片,1
0,织梦之勇者裤子,攻击力提升,一星,夜光石,10
0,织梦之勇者裤子,攻击力提升,一星,星星碎片,1
0,织梦之勇者裤子,攻击力提升,二星,夜光石,15
0,织梦之勇者裤子,攻击力提升,二星,星星碎片,1
0,织梦之勇者裤子,攻击力提升,三星,夜光石,20
0,织梦之勇者裤子,攻击力提升,三星,星星碎片,1
0,织梦之勇者裤子,攻击力提升,四星,夜光石,30
0,织梦之勇者裤子,攻击力提升,四星,星星碎片,1
0,旷野之勇者帽子,大师之剑剑气强化,一星,橡子,10
0,旷野之勇者帽子,大师之剑剑气强化,一星,费罗龙的鳞片,2
0,旷野之勇者帽子,大师之剑剑气强化,二星,精力蜂的蜂蜜,5
0,旷野之勇者帽子,大师之剑剑气强化,二星,费罗龙的爪子,2
0,旷野之勇者帽子,大师之剑剑气强化,三星,精力独角仙,3
0,旷野之勇者帽子,大师之剑剑气强化,三星,费罗龙的牙齿碎片×2 费罗龙的龙岩石,5
0,旷野之勇者帽子,大师之剑剑气强化,四星,星星碎片,3
0,旷野之勇者帽子,大师之剑剑气强化,四星,费罗龙的犄角碎片×2 费罗龙的龙岩石,10
0,旷野之勇者服,大师之剑剑气强化,一星,橡子,10
0,旷野之勇者服,大师之剑剑气强化,一星,聂尔龙的鳞片,2
0,旷野之勇者服,大师之剑剑气强化,二星,精力蜂的蜂蜜,5
0,旷野之勇者服,大师之剑剑气强化,二星,聂尔龙的爪子,2
0,旷野之勇者服,大师之剑剑气强化,三星,精力独角仙,3
0,旷野之勇者服,大师之剑剑气强化,三星,聂尔龙的牙齿碎片×2 聂尔龙的龙岩石,5
0,旷野之勇者服,大师之剑剑气强化,四星,星星碎片,3
0,旷野之勇者服,大师之剑剑气强化,四星,聂尔龙的犄角碎片×2 聂尔龙的龙岩石,10
0,旷野之勇者裤子,大师之剑剑气强化,一星,橡子,10
0,旷野之勇者裤子,大师之剑剑气强化,一星,奥尔龙的鳞片,2
0,旷野之勇者裤子,大师之剑剑气强化,二星,精力蜂的蜂蜜,5
0,旷野之勇者裤子,大师之剑剑气强化,二星,奥尔龙的爪子,2
0,旷野之勇者裤子,大师之剑剑气强化,三星,精力独角仙,3
0,旷野之勇者裤子,大师之剑剑气强化,三星,奥尔龙的牙齿碎片×2 奥尔龙的龙岩石,5
0,旷野之勇者裤子,大师之剑剑气强化,四星,星星碎片,3
0,旷野之勇者裤子,大师之剑剑气强化,四星,奥尔龙的犄角碎片×2 奥尔龙的龙岩石,10
0,依盖队面罩,夜间移动速度提升,一星,八爪怪的眼球,2
0,依盖队面罩,夜间移动速度提升,二星,喷火蜥蜴战士的尾巴,3
0,依盖队面罩,夜间移动速度提升,二星,烟雾蘑菇,3
0,依盖队面罩,夜间移动速度提升,三星,吐雹蜥蜴战士的尾巴,5
0,依盖队面罩,夜间移动速度提升,三星,蝙蝠的眼珠,5
0,依盖队面罩,夜间移动速度提升,四星,电麻蜥蜴战士的尾巴,5
0,依盖队面罩,夜间移动速度提升,四星,黑色西诺克斯的犄角,3
0,依盖队面罩,夜间移动速度提升,四星,大剑香蕉,10
0,依盖队紧身裤,夜间移动速度提升,一星,八爪怪的眼球,2
0,依盖队紧身裤,夜间移动速度提升,二星,喷火蜥蜴战士的尾巴,3
0,依盖队紧身裤,夜间移动速度提升,二星,烟雾蘑菇,3
0,依盖队紧身裤,夜间移动速度提升,三星,吐雹蜥蜴战士的尾巴,5
0,依盖队紧身裤,夜间移动速度提升,三星,蝙蝠的眼珠,5
0,依盖队紧身裤,夜间移动速度提升,四星,电麻蜥蜴战士的尾巴,5
0,依盖队紧身裤,夜间移动速度提升,四星,黑色西诺克斯的犄角,3
0,依盖队紧身裤,夜间移动速度提升,四星,大剑香蕉,10
0,依盖队紧身服,夜间移动速度提升,一星,八爪怪的眼球,2
0,依盖队紧身服,夜间移动速度提升,二星,喷火蜥蜴战士的尾巴,3
0,依盖队紧身服,夜间移动速度提升,二星,烟雾蘑菇,3
0,依盖队紧身服,夜间移动速度提升,三星,吐雹蜥蜴战士的尾巴,5
0,依盖队紧身服,夜间移动速度提升,三星,蝙蝠的眼珠,5
0,依盖队紧身服,夜间移动速度提升,四星,电麻蜥蜴战士的尾巴,5
0,依盖队紧身服,夜间移动速度提升,四星,黑色西诺克斯的犄角,3
0,依盖队紧身服,夜间移动速度提升,四星,大剑香蕉,10
0,近卫兵的帽子,蓄力攻击精力持久,一星,首领波克布林的犄角,3
0,近卫兵的帽子,蓄力攻击精力持久,一星,波克布林的肝脏,3
0,近卫兵的帽子,蓄力攻击精力持久,二星,蓝色首领波克布林的犄角,3
0,近卫兵的帽子,蓄力攻击精力持久,二星,首领波克布林的肝脏,3
0,近卫兵的帽子,蓄力攻击精力持久,三星,黑色首领波克布林的犄角,3
0,近卫兵的帽子,蓄力攻击精力持久,三星,西诺克斯的肝脏,3
0,近卫兵的帽子,蓄力攻击精力持久,四星,白银首领波克布林的犄角,3
0,近卫兵的帽子,蓄力攻击精力持久,四星,莫尔德拉吉克的肝脏,3
0,近卫兵的帽子,蓄力攻击精力持久,四星,古栗欧克的肝脏,3
0,近卫兵的衣服,蓄力攻击精力持久,一星,首领波克布林的犄角,3
0,近卫兵的衣服,蓄力攻击精力持久,一星,波克布林的肝脏,3
0,近卫兵的衣服,蓄力攻击精力持久,二星,蓝色首领波克布林的犄角,3
0,近卫兵的衣服,蓄力攻击精力持久,二星,首领波克布林的肝脏,3
0,近卫兵的衣服,蓄力攻击精力持久,三星,黑色首领波克布林的犄角,3
0,近卫兵的衣服,蓄力攻击精力持久,三星,西诺克斯的肝脏,3
0,近卫兵的衣服,蓄力攻击精力持久,四星,白银首领波克布林的犄角,3
0,近卫兵的衣服,蓄力攻击精力持久,四星,莫尔德拉吉克的肝脏,3
0,近卫兵的衣服,蓄力攻击精力持久,四星,古栗欧克的肝脏,3
0,近卫兵的靴子,蓄力攻击精力持久,一星,首领波克布林的犄角,3
0,近卫兵的靴子,蓄力攻击精力持久,一星,波克布林的肝脏,3
0,近卫兵的靴子,蓄力攻击精力持久,二星,蓝色首领波克布林的犄角,3
0,近卫兵的靴子,蓄力攻击精力持久,二星,首领波克布林的肝脏,3
0,近卫兵的靴子,蓄力攻击精力持久,三星,黑色首领波克布林的犄角,3
0,近卫兵的靴子,蓄力攻击精力持久,三星,西诺克斯的肝脏,3
0,近卫兵的靴子,蓄力攻击精力持久,四星,白银首领波克布林的犄角,3
0,近卫兵的靴子,蓄力攻击精力持久,四星,莫尔德拉吉克的肝脏,3
0,近卫兵的靴子,蓄力攻击精力持久,四星,古栗欧克的肝脏,3
0,蛮族头盔,蓄力攻击精力持久,一星,大剑草,3
0,蛮族头盔,蓄力攻击精力持久,二星,莱尼尔的刃角,2
0,蛮族头盔,蓄力攻击精力持久,二星,莱尼尔的碎角,2
0,蛮族头盔,蓄力攻击精力持久,二星,大剑蘑菇,5
0,蛮族头盔,蓄力攻击精力持久,三星,蓝鬃莱尼尔的刃角,3
0,蛮族头盔,蓄力攻击精力持久,三星,蓝鬃莱尼尔的碎角,3
0,蛮族头盔,蓄力攻击精力持久,三星,大剑螃蟹,3
0,蛮族头盔,蓄力攻击精力持久,四星,白鬃莱尼尔的刃角,3
0,蛮族头盔,蓄力攻击精力持久,四星,白鬃莱尼尔的碎角,3
0,蛮族头盔,蓄力攻击精力持久,四星,大剑独角仙,3
0,蛮族服,蓄力攻击精力持久,一星,大剑草,3
0,蛮族服,蓄力攻击精力持久,二星,莱尼尔的刃角,2
0,蛮族服,蓄力攻击精力持久,二星,莱尼尔的碎角,2
0,蛮族服,蓄力攻击精力持久,二星,大剑蘑菇,5
0,蛮族服,蓄力攻击精力持久,三星,蓝鬃莱尼尔的刃角,3
0,蛮族服,蓄力攻击精力持久,三星,蓝鬃莱尼尔的碎角,3
0,蛮族服,蓄力攻击精力持久,三星,大剑螃蟹,3
0,蛮族服,蓄力攻击精力持久,四星,白鬃莱尼尔的刃角,3
0,蛮族服,蓄力攻击精力持久,四星,白鬃莱尼尔的碎角,3
0,蛮族服,蓄力攻击精力持久,四星,大剑独角仙,3
0,蛮族短裤,蓄力攻击精力持久,一星,大剑草,3
0,蛮族短裤,蓄力攻击精力持久,二星,莱尼尔的刃角,2
0,蛮族短裤,蓄力攻击精力持久,二星,莱尼尔的碎角,2
0,蛮族短裤,蓄力攻击精力持久,二星,大剑蘑菇,5
0,蛮族短裤,蓄力攻击精力持久,三星,蓝鬃莱尼尔的刃角,3
0,蛮族短裤,蓄力攻击精力持久,三星,蓝鬃莱尼尔的碎角,3
0,蛮族短裤,蓄力攻击精力持久,三星,大剑螃蟹,3
0,蛮族短裤,蓄力攻击精力持久,四星,白鬃莱尼尔的刃角,3
0,蛮族短裤,蓄力攻击精力持久,四星,白鬃莱尼尔的碎角,3
0,蛮族短裤,蓄力攻击精力持久,四星,大剑独角仙,3
0,卓拉头盔,加速游泳精力持久,一星,蜥蜴战士的犄角,3
0,卓拉头盔,加速游泳精力持久,二星,蜥蜴战士的爪子,5
0,卓拉头盔,加速游泳精力持久,二星,海拉鲁鲈鱼,5
0,卓拉头盔,加速游泳精力持久,三星,蓝色蜥蜴战士的犄角,5
0,卓拉头盔,加速游泳精力持久,三星,蜥蜴战士的尾巴,3
0,卓拉头盔,加速游泳精力持久,三星,生命鲈鱼,3
0,卓拉头盔,加速游泳精力持久,四星,黑色蜥蜴战士的犄角,5
0,卓拉头盔,加速游泳精力持久,四星,蓝色蜥蜴战士的尾巴,5
0,卓拉头盔,加速游泳精力持久,四星,蛋白石,20
0,卓拉铠甲,加速游泳精力持久,一星,蜥蜴战士的犄角,3
0,卓拉铠甲,加速游泳精力持久,二星,蜥蜴战士的爪子,5
0,卓拉铠甲,加速游泳精力持久,二星,海拉鲁鲈鱼,5
0,卓拉铠甲,加速游泳精力持久,三星,蓝色蜥蜴战士的犄角,5
0,卓拉铠甲,加速游泳精力持久,三星,蜥蜴战士的尾巴,3
0,卓拉铠甲,加速游泳精力持久,三星,生命鲈鱼,3
0,卓拉铠甲,加速游泳精力持久,四星,黑色蜥蜴战士的犄角,5
0,卓拉铠甲,加速游泳精力持久,四星,蓝色蜥蜴战士的尾巴,5
0,卓拉铠甲,加速游泳精力持久,四星,蛋白石,20
0,卓拉护胫,加速游泳精力持久,一星,蜥蜴战士的犄角,3
0,卓拉护胫,加速游泳精力持久,二星,蜥蜴战士的爪子,5
0,卓拉护胫,加速游泳精力持久,二星,海拉鲁鲈鱼,5
0,卓拉护胫,加速游泳精力持久,三星,蓝色蜥蜴战士的犄角,5
0,卓拉护胫,加速游泳精力持久,三星,蜥蜴战士的尾巴,3
0,卓拉护胫,加速游泳精力持久,三星,生命鲈鱼,3
0,卓拉护胫,加速游泳精力持久,四星,黑色蜥蜴战士的犄角,5
0,卓拉护胫,加速游泳精力持久,四星,蓝色蜥蜴战士的尾巴,5
0,卓拉护胫,加速游泳精力持久,四星,蛋白石,20
0,耐火石盔,火焰无效,一星,莫力布林的犄角,3
0,耐火石盔,火焰无效,二星,耐火蜥,5
0,耐火石盔,火焰无效,二星,莫力布林的牙齿,5
0,耐火石盔,火焰无效,三星,耐火凤蝶,3
0,耐火石盔,火焰无效,三星,蓝色莫力布林的犄角,5
0,耐火石盔,火焰无效,三星,打火石,15
0,耐火石盔,火焰无效,四星,耐火凤蝶,5
0,耐火石盔,火焰无效,四星,黑色莫力布林的犄角,5
0,耐火石盔,火焰无效,四星,打火石,30
0,耐火石铠,火焰无效,一星,莫力布林的犄角,3
0,耐火石铠,火焰无效,二星,耐火蜥,5
0,耐火石铠,火焰无效,二星,莫力布林的牙齿,5
0,耐火石铠,火焰无效,三星,耐火凤蝶,3
0,耐火石铠,火焰无效,三星,蓝色莫力布林的犄角,5
0,耐火石铠,火焰无效,三星,打火石,15
0,耐火石铠,火焰无效,四星,耐火凤蝶,5
0,耐火石铠,火焰无效,四星,黑色莫力布林的犄角,5
0,耐火石铠,火焰无效,四星,打火石,30
0,耐火石鞋,火焰无效,一星,莫力布林的犄角,3
0,耐火石鞋,火焰无效,二星,耐火蜥,5
0,耐火石鞋,火焰无效,二星,莫力布林的牙齿,5
0,耐火石鞋,火焰无效,三星,耐火凤蝶,3
0,耐火石鞋,火焰无效,三星,蓝色莫力布林的犄角,5
0,耐火石鞋,火焰无效,三星,打火石,15
0,耐火石鞋,火焰无效,四星,耐火凤蝶,5
0,耐火石鞋,火焰无效,四星,黑色莫力布林的犄角,5
0,耐火石鞋,火焰无效,四星,打火石,30
0,防雪羽饰,冻结无效,一星,红色丘丘胶,3
0,防雪羽饰,冻结无效,二星,红色丘丘胶,5
0,防雪羽饰,冻结无效,二星,暖暖香草,3
0,防雪羽饰,冻结无效,三星,火蝙蝠的翅膀,5
0,防雪羽饰,冻结无效,三星,喷火蜥蜴战士的尾巴,3
0,防雪羽饰,冻结无效,三星,暖暖蘑菇,5
0,防雪羽饰,冻结无效,四星,喷火蜥蜴战士的犄角,5
0,防雪羽饰,冻结无效,四星,喷火蜥蜴战士的尾巴,10
0,防雪羽饰,冻结无效,四星,红宝石,5
0,利特的羽绒服,冻结无效,一星,红色丘丘胶,3
0,利特的羽绒服,冻结无效,二星,红色丘丘胶,5
0,利特的羽绒服,冻结无效,二星,暖暖香草,3
0,利特的羽绒服,冻结无效,三星,火蝙蝠的翅膀,5
0,利特的羽绒服,冻结无效,三星,喷火蜥蜴战士的尾巴,3
0,利特的羽绒服,冻结无效,三星,暖暖蘑菇,5
0,利特的羽绒服,冻结无效,四星,喷火蜥蜴战士的犄角,5
0,利特的羽绒服,冻结无效,四星,喷火蜥蜴战士的尾巴,10
0,利特的羽绒服,冻结无效,四星,红宝石,5
0,利特的羽绒裤子,冻结无效,一星,红色丘丘胶,3
0,利特的羽绒裤子,冻结无效,二星,红色丘丘胶,5
0,利特的羽绒裤子,冻结无效,二星,暖暖香草,3
0,利特的羽绒裤子,冻结无效,三星,火蝙蝠的翅膀,5
0,利特的羽绒裤子,冻结无效,三星,喷火蜥蜴战士的尾巴,3
0,利特的羽绒裤子,冻结无效,三星,暖暖蘑菇,5
0,利特的羽绒裤子,冻结无效,四星,喷火蜥蜴战士的犄角,5
0,利特的羽绒裤子,冻结无效,四星,喷火蜥蜴战士的尾巴,10
0,利特的羽绒裤子,冻结无效,四星,红宝石,5
0,橡胶头盔,雷无效,一星,电麻蜥蜴战士的犄角,1
0,橡胶头盔,雷无效,一星,黄色丘丘胶,3
0,橡胶头盔,雷无效,二星,黄色丘丘胶,8
0,橡胶头盔,雷无效,二星,酥麻水果,5
0,橡胶头盔,雷无效,三星,酥麻蘑菇,5
0,橡胶头盔,雷无效,三星,电麻蜥蜴战士的尾巴,5
0,橡胶头盔,雷无效,三星,酥麻香草,8
0,橡胶头盔,雷无效,四星,电麻蜥蜴战士的犄角,5
0,橡胶头盔,雷无效,四星,黄玉,5
0,橡胶头盔,雷无效,四星,电麻蜥蜴战士的尾巴,8
